Region,Place name,Place type,Rating,Reviews,Price,Delivery option,Dine in option,Takeout option
H,DoubleDecker Cake and Coffee,Others,4.7,true,$$$,true,true,true
H,Dim Kavy,Others,4.9,true,$$,false,false,false
H,Бамбук,Cafe,4.1,true,$$,false,true,true
H,I feel city cafe,Cafe,4.5,true,$$,true,true,true
H,Coffee Secrets,Cafe,4.6,true,$$,false,true,true
H,Horizontal kaffee,Cafe,5.0,true,$$,false,true,false
H,"Coffee&Cake, Game zone PS4",Coffee shop,4.663636363636363,false,$$,false,false,false
H,Zeffirino,Coffee shop,4.6,true,$$,false,true,true
H,Coffee Life,Cafe,4.0,true,$$,false,true,true
H,The sisters,Cafe,4.7,true,$$,false,true,true
H,"""Франс.уа"" кофейня-пекарня",Cafe,3.9,true,$$,false,false,true
H,Tsikava Kava,Others,4.7,true,$$,true,true,false
H,Try Bobry,Coffee shop,4.6,true,$$,false,true,true
H,Pa-si-ju Кафе,Cafe,4.6,true,$$,true,true,true
H,Колибри,Cafe,5.0,true,$$,false,true,true
H,Artist,Others,4.6,true,$$$,false,true,true
H,Dream Cafe,Cafe,4.3,true,$$,false,true,true
H,РУТА КАФЕ ПП КУЛІЧЕНКО К.І.,Cafe,4.6,true,$$,false,true,true
H,Ob'yektna Kava,Coffee shop,4.7,true,$$,false,true,true
H,О...МАРАТ КАФЕ ПП ПОЛІСТЕП,Cafe,4.3,true,$$,false,true,false
